comb	times
ฝซ	0.0
ฝญ	0.0
ฝฏ	0.0
ฝฐ	0.0
ฝณ	0.0
ฝด	0.0
ฝต	0.0
ฝถ	0.0
ฝท	0.0
ฝธ	0.0
ฝน	0.0
ฝบ	0.0
ฝป	0.0
ฝผ	0.0
ฝฝ	0.0
ฝพ	0.0
ฝฟ	0.0
ฝภ	0.0
ฝม	0.0
ฝย	0.0
ฝร	0.0
ฝฤ	0.0
ฝล	0.0
ฝว	0.0
ฝศ	0.0
ฝษ	0.0
ฝส	0.0
ฝห	0.0
ฝอ	0.0
ฝฮ	0.0
ฝะ	0.0
ฝั	2.0
ฝา	16.0
ฝำ	0.0
ฝิ	0.0
ฝี	1.0
ฝึ	0.0
ฝื	0.0
ฝุ	0.0
ฝู	0.0
ฝเ	0.0
ฝแ	0.0
ฝโ	0.0
ฝใ	0.0
ฝไ	0.0
ฝๆ	0.0
ฝ็	0.0
ฝ่	17.0
ฝ้	0.0
ฝ๋	0.0
ฝ์	0.0
ฝ‘	0.0
ฝ’	0.0
ฝ“	0.0
ฝ”	0.0
พก	0.0
พข	2.0
พค	0.0
พฆ	0.0
พง	0.0
พจ	0.0
พฉ	0.0
พช	0.0
พซ	0.0
พญ	0.0
พฏ	0.0
พฐ	0.0
พณ	0.0
พด	0.0
พต	6.0
พถ	0.0
พท	1.0
พธ	0.0
พน	1.0
พบ	10.0
พป	0.0
พผ	2.0
พฝ	0.0
พพ	0.0
พฟ	0.0
พภ	0.0
พม	0.0
พย	22.0
พร	845.0
พฤ	0.0
พล	7.0
พว	433.0
พศ	1.0
พษ	0.0
พส	1.0
พห	0.0
พอ	11.0
พฮ	0.0
พะ	0.0
พั	13.0
พา	14.0
พำ	0.0
พิ	32.0
พี	25.0
พึ	1.0
พื	110.0
พุ	0.0
พู	6.0
พเ	165.0
พแ	0.0
พโ	0.0
พใ	0.0
พไ	0.0
พๆ	0.0
พ็	0.0
พ่	1.0
พ้	8.0
พ๋	0.0
พ์	0.0
พ‘	0.0
พ’	1.0
พ“	0.0
พ”	0.0
ฟก	1.0
ฟข	0.0
ฟค	0.0
ฟฆ	0.0
ฟง	0.0
ฟจ	0.0
ฟฉ	0.0
ฟช	0.0
ฟซ	0.0
ฟญ	0.0
ฟฏ	0.0
ฟฐ	0.0
ฟณ	0.0
ฟด	0.0
ฟต	0.0
ฟถ	0.0
ฟท	0.0
ฟธ	0.0
ฟน	1.0
ฟบ	2.0
ฟป	0.0
ฟผ	0.0
ฟฝ	0.0
ฟพ	0.0
ฟฟ	0.0
ฟภ	0.0
ฟม	0.0
ฟย	0.0
ฟร	0.0
ฟฤ	0.0
ฟล	0.0
ฟว	0.0
ฟศ	0.0
ฟษ	0.0
ฟส	1.0
ฟห	0.0
ฟอ	0.0
ฟฮ	0.0
ฟะ	0.0
ฟั	19.0
ฟา	1.0
ฟำ	0.0
ฟิ	0.0
ฟี	1.0
ฟึ	0.0
ฟื	2.0
ฟุ	0.0
ฟู	1.0
ฟเ	1.0
ฟแ	0.0
ฟโ	0.0
ฟใ	0.0
ฟไ	1.0
ฟๆ	0.0
ฟ็	0.0
ฟ่	0.0
ฟ้	1.0
ฟ๋	0.0
ฟ์	0.0
ฟ‘	0.0
ฟ’	0.0
ฟ“	0.0
ฟ”	0.0
ภก	0.0
ภข	0.0
ภค	0.0
ภฆ	0.0
ภง	0.0
ภจ	0.0
ภฉ	0.0
ภช	0.0
ภซ	0.0
ภญ	0.0
ภฏ	0.0
ภฐ	0.0
ภณ	0.0
ภด	0.0
ภต	0.0
ภถ	0.0
ภท	0.0
ภธ	0.0
ภน	0.0
ภบ	0.0
ภป	0.0
ภผ	0.0
